AD DisplayName,Assigned Roles,Department,Department ID,Detected Roles,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,POI Type Code,POI Type Description,Position Description Long,Squad ID,Squad Name,Username
AD DisplayName 1033,Assigned Roles 264,Department 71,Department ID 71,Detected Roles 369,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 79,Job Profile 79,Management Level 3,Manager 182,POI Type Code 0,POI Type Description 0,Position Description Long 124,Squad ID 0,Squad Name 0,167b5ef0
AD DisplayName 1034,Assigned Roles 300,Department 8,Department ID 8,Detected Roles 370,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 88,Job Profile 88,Management Level 7,Manager 116,POI Type Code 0,POI Type Description 0,Position Description Long 170,Squad ID 0,Squad Name 0,2686ce41
AD DisplayName 1035,Assigned Roles 301,Department 47,Department ID 47,Detected Roles 371,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 14,Job Profile 14,Management Level 3,Manager 133,POI Type Code 0,POI Type Description 0,Position Description Long 129,Squad ID 0,Squad Name 0,2786ec06
AD DisplayName 1036,Assigned Roles 292,Department 19,Department ID 19,Detected Roles 350,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 28,POI Type Code 0,POI Type Description 0,Position Description Long 23,Squad ID 0,Squad Name 0,fcbb1687
AD DisplayName 1037,Assigned Roles 266,Department 12,Department ID 12,Detected Roles 372,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 79,Job Profile 79,Management Level 3,Manager 79,POI Type Code 0,POI Type Description 0,Position Description Long 124,Squad ID 0,Squad Name 0,e5491466
AD DisplayName 1038,Assigned Roles 267,Department 39,Department ID 39,Detected Roles 373,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 77,Job Profile 77,Management Level 3,Manager 183,POI Type Code 0,POI Type Description 0,Position Description Long 123,Squad ID 0,Squad Name 0,95cb9055
AD DisplayName 1039,Assigned Roles 302,Department 5,Department ID 5,Detected Roles 116,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 16,Job Profile 16,Management Level 3,Manager 6,POI Type Code 0,POI Type Description 0,Position Description Long 6,Squad ID 0,Squad Name 0,bb8b1708
AD DisplayName 1040,Assigned Roles 303,Department 6,Department ID 6,Detected Roles 374,Functional Division 0,Functional Division ID 0,Group Division 0,Group Division ID 0,Job Code 19,Job Profile 19,Management Level 1,Manager 53,POI Type Code 0,POI Type Description 0,Position Description Long 24,Squad ID 0,Squad Name 0,738ea747
AD DisplayName 1041,Assigned Roles 252,Department 78,Department ID 78,Detected Roles 375,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 77,Job Profile 77,Management Level 3,Manager 184,POI Type Code 0,POI Type Description 0,Position Description Long 123,Squad ID 0,Squad Name 0,aa9c639a
AD DisplayName 1042,Assigned Roles 304,Department 60,Department ID 60,Detected Roles 376,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 14,Job Profile 14,Management Level 3,Manager 111,POI Type Code 0,POI Type Description 0,Position Description Long 129,Squad ID 0,Squad Name 0,289ca1f4
